SYMBOL,Time,OMDSEQ,ASK_SIZE,ASK_PRICE,BID_SIZE,BID_PRICE
AA,2015-01-03 09:35:38.210147,0,1,25.0,1,22.74
AA,2015-01-03 09:35:38.210173,1,3,23.91,8,23.79
AA,2015-01-03 09:35:38.210202,2,3,23.91,3,23.79
AA,2015-01-03 09:35:38.212387,0,1,25.0,5,23.79
AA,2015-01-03 09:35:38.212451,1,3,23.91,8,23.79
AA,2015-01-03 09:35:38.916249,0,3,23.92,8,23.79
AA,2015-01-03 09:35:38.916525,1,3,23.92,11,23.79
AA,2015-01-03 09:35:38.916548,2,3,23.92,3,23.8
AA,2015-01-03 09:35:38.917627,0,5,23.92,5,23.79
AA,2015-01-03 09:35:38.917725,1,8,23.92,3,23.8
AA,2015-01-03 09:35:38.918695,0,5,23.92,1,22.74
AA,2015-01-03 09:35:38.918728,1,5,23.92,5,23.8
AA,2015-01-03 09:35:38.918841,2,8,23.92,8,23.8
AA,2015-01-03 09:35:38.927495,0,1,24.39,1,22.74
AA,2015-01-03 09:35:38.927563,1,1,24.39,1,23.32
AA,2015-01-03 09:35:39.272853,0,1,25.0,1,22.74
AA,2015-01-03 09:35:39.272962,1,3,23.92,8,23.8
AA,2015-01-03 09:35:39.272985,2,3,23.92,3,23.8
AA,2015-01-03 09:35:39.273812,0,1,25.0,5,23.8
AA,2015-01-03 09:35:39.273835,1,5,23.92,5,23.8
AA,2015-01-03 09:35:39.273871,2,3,23.92,8,23.8
AA,2015-01-03 09:35:39.273903,3,8,23.92,8,23.8
AA,2015-01-03 09:35:39.299819,0,1,25.0,1,22.74
AA,2015-01-03 09:35:39.299891,1,3,23.92,8,23.8
AA,2015-01-03 09:35:39.299911,2,3,23.92,3,23.8
AA,2015-01-03 09:35:39.300577,0,1,25.0,5,23.8
AA,2015-01-03 09:35:39.300599,1,5,23.92,5,23.8
AA,2015-01-03 09:35:39.300842,2,8,23.92,3,23.8
AA,2015-01-03 09:35:39.300862,3,8,23.92,8,23.8
AA,2015-01-03 09:35:41.084163,0,1,25.0,5,23.8
AA,2015-01-03 09:35:41.084193,1,1,25.0,1,22.74
AA,2015-01-03 09:35:41.084315,2,3,23.92,8,23.8
AA,2015-01-03 09:35:41.084345,3,3,23.92,3,23.8
AA,2015-01-03 09:35:42.318021,0,1,25.0,5,23.8
AA,2015-01-03 09:35:42.318041,1,5,23.92,5,23.8
AA,2015-01-03 09:35:42.318112,2,3,23.92,8,23.8
AA,2015-01-03 09:35:42.318132,3,8,23.92,8,23.8
AA,2015-01-03 09:35:42.318483,4,1,25.0,1,22.74
AA,2015-01-03 09:35:42.318585,5,3,23.92,8,23.8
AA,2015-01-03 09:35:42.318605,6,3,23.92,3,23.8
AA,2015-01-03 09:35:45.309850,0,1,25.0,5,23.8
AA,2015-01-03 09:35:45.309878,1,5,23.92,5,23.8
AA,2015-01-03 09:35:45.309898,2,3,23.92,8,23.8
AA,2015-01-03 09:35:45.309916,3,8,23.92,8,23.8
AA,2015-01-03 09:35:45.309930,4,5,23.92,1,22.74
AA,2015-01-03 09:35:45.310095,0,1,25.0,1,22.74
AA,2015-01-03 09:35:45.310277,1,8,23.92,3,23.8
AA,2015-01-03 09:35:45.310475,2,3,23.92,3,23.8
AA,2015-01-03 09:35:52.683016,0,5,23.92,5,23.8
AA,2015-01-03 09:35:52.683085,1,3,23.92,8,23.8
AA,2015-01-03 09:35:52.683110,2,8,23.92,8,23.8
AA,2015-01-03 09:35:52.683446,3,1,25.0,5,23.8
AA,2015-01-03 09:35:52.683467,4,1,25.0,1,22.74
AA,2015-01-03 09:35:52.683553,5,3,23.92,8,23.8
AA,2015-01-03 09:35:52.683577,6,3,23.92,3,23.8
AA,2015-01-03 09:35:52.736756,0,1,25.0,5,23.8
AA,2015-01-03 09:35:52.736773,1,5,23.92,5,23.8
AA,2015-01-03 09:35:52.736819,2,3,23.92,8,23.8
AA,2015-01-03 09:35:52.736840,3,8,23.92,8,23.8
AA,2015-01-03 09:35:52.742707,0,1,25.0,1,22.74
AA,2015-01-03 09:35:52.742815,1,3,23.92,8,23.8
AA,2015-01-03 09:35:52.742972,2,3,23.92,3,23.8
AA,2015-01-03 09:35:52.743229,0,1,25.0,5,23.8
AA,2015-01-03 09:35:52.743264,1,5,23.92,5,23.8
AA,2015-01-03 09:35:52.743304,2,3,23.92,8,23.8
AA,2015-01-03 09:35:52.743324,3,8,23.92,8,23.8
AA,2015-01-03 09:35:53.047056,0,5,23.92,1,22.74
AA,2015-01-03 09:35:53.047090,1,1,25.0,1,22.74
AA,2015-01-03 09:35:53.047156,2,3,23.92,8,23.8
AA,2015-01-03 09:35:53.047180,3,3,23.92,3,23.8
